mu,type,res,NMI,ARI,AMI,FPR,FNR,Precision,Recall,F1-score
0.7,pre-CM,mod,0.686544179,0.057399238,0.595822012,0.013865029,0.001441469,0.029964968,0.998558531,0.058183939
0.7,pre-CM,0.0001,0.083233018,3.75E-05,0.025360873,0.802084486,0.162831923,0.000447478,0.837168077,0.000894478
0.7,pre-CM,0.001,0.907890206,0.562515082,0.82060883,0.000666141,0.000266835,0.39162081,0.999733165,0.562784624
0.7,pre-CM,0.01,0.985713224,0.858136288,0.963772947,2.47E-05,0.205027789,0.932336187,0.794972211,0.858192273
0.7,pre-CM,0.1,0.947566914,0.462476794,0.842878431,3.35E-06,0.696761499,0.974863414,0.303238501,0.462586147
0.7,pre-CM,0.5,0.844606885,0.074347657,0.308491723,5.02E-06,0.960917987,0.769495013,0.039082013,0.074386021
0.7,post-CM,mod,0.751696245,0.066277501,0.571805703,0.008165909,0.305021445,0.035218391,0.694978555,0.067039521
0.7,post-CM,0.0001,0.181816049,3.51E-05,0.01876552,0.801666071,0.165503073,0.000446284,0.834496927,0.00089209
0.7,post-CM,0.001,0.909354845,0.570500648,0.82181077,0.000642405,0.002532601,0.399753928,0.997467399,0.570763562
0.7,post-CM,0.01,0.978267856,0.849266424,0.94261526,2.21E-05,0.223773422,0.937622207,0.776226578,0.849324962
0.7,post-CM,0.1,0.930704272,0.425472272,0.763535525,5.40E-08,0.729659188,0.99953431,0.270340812,0.425577149
0.7,post-CM,0.5,0.837254292,0.001649856,0.00522796,0,0.999173837,1,0.000826163,0.001650961
0.8,pre-CM,mod,0.40810772,0.005518022,0.318037033,0.041187517,0.690373317,0.003214018,0.309626683,0.006361997
0.8,pre-CM,0.0001,0.073180856,0.00E+00,0.006099587,0.806829649,0.194784027,0.000427876,0.805215973,0.000855298
0.8,pre-CM,0.001,0.769532416,0.179194845,0.553810399,0.000928883,0.687494577,0.126104281,0.312505423,0.179696306
0.8,pre-CM,0.01,0.887004902,0.406674777,0.703845187,9.98E-05,0.685207819,0.575023242,0.314792181,0.406854761
0.8,pre-CM,0.1,0.860728544,0.21211544,0.521402158,1.71E-05,0.876564041,0.755717081,0.123435959,0.212210294
0.8,pre-CM,0.5,0.816593447,0.020793438,0.122139769,7.36E-06,0.989301872,0.383918706,0.010698128,0.020816201
0.8,post-CM,mod,0.780431994,0.016318092,0.258988282,0.003825562,0.914574981,0.009486887,0.085425019,0.017077257
