,net_name,step,r,clus_count,clus_count_10,node_cov,node_cov_10,mean_size,min_size,med_size,max_size
53,orkut,post-CM,modularity,122,122,0.906947603,0.906947603,22840.51639,11,472.5,692424
54,oc,Leiden,0.0001,561116,38701,0.937384314,0.918970513,1781.502829,11,178,125017
55,oc,Filter,0.0001,33705,33705,0.917137355,0.917137355,2041.489631,11,208,125017
56,oc,post-CM,0.0001,28075,28075,0.68028152,0.68028152,1817.925307,11,85,125014
57,oc_lfr,Leiden,0.0001,10208,10208,1,1,293.8871473,87,266,105732
58,oc_lfr,Filter,0.0001,10208,10208,1,1,293.8871473,87,266,105732
59,oc_lfr,post-CM,0.0001,108576,108576,0.999971667,0.999971667,27.6296327,15,18,105674
60,oc,Leiden,0.001,839902,231899,0.92685637,0.905396473,292.9186672,11,64,21385
61,oc,Filter,0.001,207713,207713,0.892982896,0.892982896,322.5422338,11,73,21385
62,oc,post-CM,0.001,145894,145894,0.687010393,0.687010393,353.2913485,11,64,21385
63,oc_lfr,Leiden,0.001,50129,50129,1,1,59.84559836,36,55,11897
64,oc_lfr,Filter,0.001,50129,50129,1,1,59.84559836,36,55,11897
65,oc_lfr,post-CM,0.001,75504,75504,0.999970333,0.999970333,39.73181553,18,24,11885
66,oc,Leiden,0.01,2134603,1361462,0.923733553,0.889252536,49.00345658,11,19,3729
67,oc,Filter,0.01,1033761,1033761,0.821991437,0.821991437,59.65602011,11,24,3729
68,oc,post-CM,0.01,580003,580003,0.639741858,0.639741858,82.75260128,11,30,3729
69,oc_lfr,Leiden,0.01,83095,83095,1,1,36.10325531,28,32,599
70,oc_lfr,Filter,0.01,83095,83095,1,1,36.10325531,28,32,599
71,oc_lfr,post-CM,0.01,83095,83095,1,1,36.10325531,28,32,599
72,oc,Leiden,0.1,8642175,1311357,0.92785009,0.437542341,25.03261812,11,17,882
73,oc,Filter,0.1,1297088,1297088,0.435450257,0.435450257,25.18698808,11,17,882
74,oc,post-CM,0.1,1167572,1167572,0.415617706,0.415617706,26.70653202,11,19,882
75,oc_lfr,Leiden,0.1,114652,66968,0.995587,0.927501333,41.54975511,11,41,451
76,oc_lfr,Filter,0.1,66968,66968,0.927501333,0.927501333,41.54975511,11,41,451
77,oc_lfr,post-CM,0.1,66862,66862,0.927084667,0.927084667,41.59693099,11,41,451
78,oc,Leiden,0.5,20966119,297230,0.792286615,0.059912141,15.12269959,11,13,192
79,oc,Filter,0.5,297230,297230,0.059912141,0.059912141,15.12269959,11,13,192
80,oc,post-CM,0.5,297230,297230,0.059912141,0.059912141,15.12269959,11,13,192
81,oc_lfr,Leiden,0.5,1435015,363,0.986813667,0.001714333,14.16804408,11,13,35
82,oc_lfr,Filter,0.5,363,363,0.001714333,0.001714333,14.16804408,11,13,35
83,oc_lfr,post-CM,0.5,363,363,0.001714333,0.001714333,14.16804408,11,13,35
84,oc,Leiden,modularity,184257,2184,1,0.994201041,34152.9881,11,16,9922297
85,oc,Filter,modularity,912,912,0.993868366,0.993868366,81760.05154,11,17,9922297
86,oc,post-CM,modularity,1211,1211,0.645425082,0.645425082,39986.07927,11,486,4661503
87,oc_lfr,Leiden,modularity,2654,2654,1,1,1130.369254,520,1021,2975
88,oc_lfr,Filter,modularity,2654,2654,1,1,1130.369254,520,1021,2975
89,oc_lfr,post-CM,modularity,75547,75547,0.993008,0.993008,39.432724,11,26,999
90,cen,Leiden,0.0001,11779,11327,0.905398188,0.905260441,1118.043877,11,397,70138
91,cen,Filter,0.0001,9520,9520,0.810635182,0.810635182,1191.211029,11,460,70138
92,cen,post-CM,0.0001,8138,8138,0.258733376,0.258733376,444.7694765,11,82,70138
93,cen_lfr,Leiden,0.0001,12139,12139,1,1,247.137326,91,213,1065
94,cen_lfr,Filter,0.0001,12139,12139,1,1,247.137326,91,213,1065
95,cen_lfr,post-CM,0.0001,66104,66104,0.848819,0.848819,38.52198052,11,19,977
96,cen,Leiden,0.001,66470,65915,0.845233432,0.845067021,179.3523629,11,97,13025
97,cen,Filter,0.001,43083,43083,0.622643472,0.622643472,202.1779124,12,111,13025
98,cen,post-CM,0.001,27563,27563,0.23048649,0.23048649,116.9820411,11,33,13025
99,cen_lfr,Leiden,0.001,49804,49804,1,1,60.23612561,25,47,998
100,cen_lfr,Filter,0.001,49804,49804,1,1,60.23612561,25,47,998
101,cen_lfr,post-CM,0.001,60911,60911,0.701239667,0.701239667,34.53758763,11,18,974
102,cen,Leiden,0.01,280544,275807,0.7685154,0.765792631,38.84240429,11,28,3236
103,cen,Filter,0.01,64566,64566,0.248723894,0.248723894,53.89070099,11,34,3236
104,cen,post-CM,0.01,34451,34450,0.13247296,0.132472317,53.79428157,11,23,3236
105,cen_lfr,Leiden,0.01,98742,98693,1,0.999898,30.39419209,11,27,828
106,cen_lfr,Filter,0.01,98693,98693,0.999898,0.999898,30.39419209,11,27,828
107,cen_lfr,post-CM,0.01,98689,98689,0.987940667,0.987940667,30.03193872,11,27,828
108,cen,Leiden,0.1,517669,273971,0.40438671,0.239848983,12.24710645,11,11,320
