net,type,res,proportion_well_connected,mean_normalized_connectivity,proportion_small_clusters,proportion_disconnected,node_coverage_10,proportion_well_connected_10,min,max,mean,median,#clusters,#nodes
wiki_topcats,gt,0.01,0.999352402,3.430866564,0.701381791,0,0.672130836,,5,2490,13.97788025,7,128166,1791489
wiki_topcats,gt,0.1,0.992511803,2.46112459,0.854634396,0.000130269,0.335372977,,5,502,8.047404286,6,222617,1791489
wiki_topcats,gt,0.5,,,,,,,,,,,,
wiki_topcats,leiden-lfr,mod,0.011126565,0.707850681,0,0,,,,,,,,1791489
wiki_topcats,leiden-lfr,0.0001,0.174492754,0.842826549,0,0,,,,,,,,1791489
wiki_topcats,leiden-lfr,0.001,0.288816368,0.957745243,0,0,,,,,,,,1791489
wiki_topcats,leiden-lfr,0.01,0.293862579,1.237528709,0.013008308,0,,,,,,,,1791489
wiki_topcats,leiden-lfr,0.1,0.999204989,2.274427741,0.864741836,0,,,,,,,,1791489
wiki_topcats,leiden-lfr,0.5,,,,,,,,,,,,
wiki_topcats,leiden-orig,mod,0,0.240284646,0,0,1,0,,,,,,1791489
wiki_topcats,leiden-orig,0.0001,0.914160826,2.63518473,0.913413715,0,0.945002732,0.007839721,,,,,,1791489
wiki_topcats,leiden-orig,0.001,0.607148146,1.970046916,0.604353836,0,0.932523727,0.006987771,,,,,,1791489
wiki_topcats,leiden-orig,0.01,0.261265276,1.193549392,0.245149458,0,0.914394674,0.021344233,,,,,,1791489
wiki_topcats,leiden-orig,0.1,0.970112975,1.783222678,0.884761129,0,0.292707909,0.740643254,,,,,,1791489
wiki_topcats,leiden-orig,0.5,1,3.625326603,0.994140265,0,0.022431062,1,,,,,,
wiki_talk,gt,mod,0.143210568,0.280857523,0.398272911,0.707199427,0.912551708,,7,4836,37.25567536,12,64269,2394385
wiki_talk,gt,0.0001,0.14693708,0.312820338,0.45764894,0.66356337,0.757187024,,8,3766,16.57357929,11,144470,2394385
wiki_talk,gt,0.001,0.037086731,0.115895961,0.173794549,0.870332711,0.96731463,,9,1202,50.19780289,18,47699,2394385
wiki_talk,gt,0.01,0,0,0,1,1,,20,200,52.3603184,37,45729,2394385
wiki_talk,gt,0.1,0,0,0,1,1,,53,1140,146.7147672,91,16320,2394385
wiki_talk,gt,0.5,,,,,,,,,,,,
wiki_talk,leiden-lfr,mod,0.985734829,2.996127576,0.985728873,0,,,,,,,,2394385
wiki_talk,leiden-lfr,0.0001,0.906310597,2.693526237,0.906304431,0,,,,,,,,2394385
wiki_talk,leiden-lfr,0.001,0.848783786,2.74394192,0.848779438,0,,,,,,,,2394385
wiki_talk,leiden-lfr,0.01,0.589955662,2.193474714,0.589953857,0,,,,,,,,2394385
wiki_talk,leiden-lfr,0.1,1,2.188278256,0.999998442,0,,,,,,,,2394385
wiki_talk,leiden-lfr,0.5,,,,,,,,,,,,
wiki_talk,leiden-orig,mod,0.939393939,3.024832791,0.939051095,0,0.9976992,0,,,,,,2394385
wiki_talk,leiden-orig,0.0001,0.386466165,1.48136117,0.386413341,0,0.975474704,0,,,,,,2394385
wiki_talk,leiden-orig,0.001,0.399937636,1.517898589,0.399912696,0,0.793279694,0,,,,,,2394385
wiki_talk,leiden-orig,0.01,0.491042116,1.726154138,0.491026763,0,0.318852649,0,,,,,,2394385
wiki_talk,leiden-orig,0.1,0.971865267,2.074650118,0.971040799,0,0.00707238,0.027797577,,,,,,2394385
wiki_talk,leiden-orig,0.5,1,3.380501592,0.99872409,0,0.000540849,1,,,,,,
